,text,label
95,fucking hate rachel ray,1
96,low new kid school think take tetherball bout show get playground pussy,1
97,really suck could recommended amazing chiropractor,1
98,jus wanna let know otc trash baka ain shit ain going nowhere without harden,1
99,look kind opinion islamic world stuck arc,1
100,happy first day college nigger,1
101,god damn louis,1
102,hate,1
103,thats aunt say still tm low watching wit fat folk,1
104,definition sexism call sexist feel men amp woman appropriate role life,1
105,bitch comment nigua pic like fine thirst bucket back and like thanks,1
106,isi want control world mohammed wanted control,1
107,female get irritated fast fuck hoe,1
108,all letting hoe fuck strap said,1
109,wonder titanium ankle killing woo retarded winter weather rrkxbwg,1
110,could video le feminism and postmodernism,1
111,make burger bitch stvepvmzzz,1
112,but thats baby mom though ain hoe,1
113,smoke good weed bad bitch,1
114,bottle bitch,1
115,queen latitat dyke contemplate fucking re wait,1
116,fucking money bitch,1
117,damn fucking skippy onethe shit,1
118,and honestly social hoe talk and everybody nowhere said fuck suck and trap,1
119,ugh little bitch,1
120,sterling cunt point simply everyone privately taped conversation released shut fuck,1
121,way sexist not sexist but female character show usually annoying character,1
122,bitch boy,1
123,heard fuck bitch mad tripping,1
124,bitch get cut everyday,1
125,bunch pussy,1
126,bitch love all corny nigua,1
127,nah boa nigua wayne run mouth like hoe amp girl ain hoe chill,1
128,patty dont love hoe,1
129,know pussy good sound like mixing spaghetti hit low,1
130,bitch shoot look better blank stare get shanked pancreas,1
131,black murdered far white reverse one sided presentation show racist,1
132,literally idea gonna dont end rich,1
133,wrong muslim murdering hindu india kashmir bangladesh and pakistan,1
134,left wing retard twisted logic year old pensioner attacked two armed criminal had,1
135,fag,1
136,not sexist but girl age drive super scary,1
137,bitch rebook account selkies add like bitch trick wanna see face,1
138,make account another bitch like wanna anotta bitch dat bad lmfaooo fat as hoe,1
139,one time real night two time bad bitch,1
140,peace negro,1
141,man fraud trying convince westerner religion hatred murder bigotry and sexism something different,1
142,feminist labeled transphobic not somehow magically knowing fluidflux gender,1
143,ain love hoe,1
144,night bitch,1
145,not sexist but diva match annoy and tag team diva match,1
146,completely lost mind find ahead and keep bitch,1
147,not fag to,1
148,sterling bitch gotta hoe aye paid and mad dont blame bitch half black,1
149,sexist but like area boy yet washing dish still,1
150,alice took advantage last night bitch won tonight,1
151,everyone think hoe ink trying talk,1
152,faggot,1
153,got lightsmen pussy one time and bitch damn near bout propose immediately,1
154,hoe homie hopping but if ain fun tha homies nun,1
155,girl curled ball bed waiting goodnight text sleep bitch,1
156,hoe,1
157,grab booty front night want grab booty front bitch want,1
158,good morning history islamic slavery xwjzpsodgj,1
159,wtv dude fucking retarded,1
160,juicy say ratchet pussy remember,1
161,wunna bitch take as home,1
162,idiotic study made objective mind terrorism not included murder rate,1
163,low hoe old,1
164,peace faggot qsgycvcvap,1
165,gypsy bitch,1
166,gotta phone ami testing but got negative bitch,1
167,vin diesel closet fag don know rock worried made money one yea,1
168,ion even ask lightsmen bitch nude domo fuck,1
169,big black bitch arguing,1
170,cannot fuck broke bitch,1
171,hoe man don need though need pick mine back,1
172,gift shop museum and charge admission mass grave fucking cunt disgrace,1
173,say back old but old bitch would get excited,1
174,woman and sexist comment directly and watching football not talk unless team score,1
175,teacher tell homework rok vain bitch need,1
176,damn brownie swear omao,1
177,hoe suck dick u look like john stosston hit wit croppa luke father,1
178,asking kid brought apple teacher queer,1
179,would liked backup but handle gang retard,1
180,bad bitch,1
181,juicy pussy,1
182,hoe need get much life fucking hater get,1
183,two need dictionary gen,1
184,spiff trypa hoe,1
185,hating ideology enables,1
186,well pussy surely isn man substance looking low don settle know want,1
187,bet freezing north suck ugh,1
188,girl not care opinion girl not participate shave november,1
189,also caught gap damn earlier and support non bullyingnon bullying,1
190,lonely hoe,1
191,yep real as everybody know,1
192,fuck yes,1
193,aint nothing cut bitch,1
194,night sleeping bitch grandma omao marry fake,1
195,yeah bitch,1
196,fuck happened guy chin asked sellie not worm fugly ofo,1
197,bitch,1
198,wife bitch den represent dint wife wrong bitch,1
199,urd clean isi islamofascist trash kobans kobans graveyard isi via,1
200,baby make pussy rain often,1
201,mom really came and found anything possible bitch,1
202,slide bitch de like qum oo,1
203,face bitch could love ockxaythak,1
204,aula dont fukien talk herry vv,1
205,one bae end day cause ride unlike bitch,1
206,reason rap pussy supposed talk tmh bout make music ain negative,1
207,hoe keep calling but ain pickin,1
208,really fuck take back dan marine sorry blame room and whitten,1
209,pregnant time and bitch think cute,1
210,quitting showed true friend and showed one two faced bitch,1
211,quote tweet favorite animal pussy,1
212,difference prophet mohammed and isi,1
213,one vile thing islam murder people exercising freedom speech,1
214,groupie bitch wild enough suck baby dick,1
215,bitch pregnant dancing heart and instagram asshole qoxkqbyxhe,1
216,fuck still play flappy bird flappy bird feel like inn fwo,1
217,could trash talking nigua cuz nigua got spanked fantasy,1
218,hoe,1
219,mohammed genocidal bigot attacked jew and christian isi and tamas exactly,1
220,omao putting twitter see fat bitch,1
221,fucking good female comedian comedienne prefer not think even one,1
222,low reason talk bout present cuz sicca hurt ain played,1
223,point jealous cuz dee hoe everybody bucketsproverbs,1
224,night entertain nicols bitch don see ever take bitch posted naked pic serious,1
225,swear hoe aint got nothing,1
226,falling love easy falling love bitch,1
227,bitch love sofa guess wear sammy sofa,1
228,hav girl replacing battery kinda strange,1
229,remember ill bitch caught slipping get in car min later looking nigua holding gun face,1
230,saw xxx but thought hoe,1
231,answer snapshot faggot,1
232,unfortunate one care think not sexist but football not meant woman,1
233,couldn help man night pussy robbing chick and shooting,1
234,right hand posse mean slave quran give clear permission rape slave,1
235,and yet law islam and muslim support law but tell tolerate,1
236,islamic golden age driven slavery and looting jihad lazy and stupid produce anything,1
237,hoe night haunt seen half,1
238,cry poorly raised mother need sandwich,1
239,hate every movie one look know look haha,1
240,hey people bird watching realize like hundred literally hundred free picture boob internet right,1
241,not sexist but reason every time woman commentator come and give two cent,1
242,fuck talking like guy asks number and say ugly and bitch say,1
243,nigua ended going muco messing hoe and signed smallest moral story take get,1
244,side bitch basically new relationship started addition problem already primary woman,1
245,warm pussy,1
246,black last one would damn racist,1
247,dog bitch king queen,1
248,wack as hoe,1
249,whats bad bitch queen goal,1
250,not sexist but female business commentating football like man conducting child birthing class,1
251,jenna stay pippin hoe,1
252,mafoo black fag misread blocking,1
253,bos as bitch remix jxgbwz who,1
254,way sri lank batted yet india total score today may suffice next match,1
255,love stupid holiday commercial thought going get car nope bitch got ugly as sweater,1
256,bitch two black eye bloody lip scalp bleeding bruise and broken arm and still like but love omao,1
257,let bitch say got small dick god whip shit and show everyone room got blessed,1
258,call sexist but never take woman play poker seriously look like easy me,1
259,bitch library start acting qgftkb,1
260,going bitch and not come show band dropped moshing room,1
261,redneck land,1
262,not sexist but bet one month training could snowboard trick girl and neve,1
263,let hoe great,1
264,got street head lock got bitch leg lock,1
265,islam believe system based mainly illusion overlooking gross barbarity necessary,1
266,news flash not word lady short skirt short summer thanks,1
267,baby dat man dat dat gator bitch best using jimmy,1
268,yes cant fucking wait hardly bring review must but dont want,1
269,hope kat amp andre choke and die even tho not like apparent model always scored fairly,1
270,not ready see hoe tweet new year new,1
271,watch black and whingers cry emluwbbogw,1
272,mean disrespect but girl much difficult coach boy,1
273,mad cunt created masturbating dude need high,1
274,muslim control and determined steal last tiny piece land left jew,1
275,coon hoe love putting spaghetti and salad fucking plate tmh,1
276,say anotta bitch standard night outta all league,1
277,question feminist medium see mention clem ford open bigotry etc nope narrative,1
278,hoe fuck and think pregnant not party together,1
279,broke even though drama working bitch got something,1
280,between spam faggot dick going,1
281,assuming not deep cecil est pa une pipe girl sport not sport,1
282,sexist and racist not sexist but woman burkha scare totally,1
283,dam bitch,1
284,boat and hoe,1
285,bitch like pussy away much talking much talk fist and get and dad little fur,1
286,ply don tell nobody bitch know got man low ain gon tell nobody,1
287,pussy,1
288,pfft mean maybe suck as,1
289,mo emosquad get level bitch,1
290,got follower bed sheet last month bitch confused voice,1
291,brush bitch wearing heel and club outfit school and shit,1
292,say married well say pussy hairy wanna see,1
293,riding quad bitch eppemqfxxo,1
294,ain like guy wine and dine keep woman bitch want two thing get high and kick,1
295,get as back detroit fucking wigger,1
296,deconstructed girl deconstructed brain nearly brought dinner saw crap plate,1
297,lock bitch keep heat shut front door,1
298,wanna cut hair but busy bitch,1
299,delph hoe bout rock holiday show,1
300,ask every bitch gay true dat true dat,1
301,opinion irrelevant cunt,1
302,ain nobody slick dead female bashing wicca early dis morning low,1
303,dominates crime prison amp welfare system amp national security still importing,1
304,ill bit bitch,1
305,right hoe dick day,1
306,damn bitch the twdkckktaz,1
307,fuck duke,1
308,gotta link bro zambo cashoo gotta pull ona pussy boy,1
309,give three wish wish wish wish would bitch,1
310,time bitch ever see inside church brings supply muslim,1
311,least not anvilled thats cunt,1
312,karma bitch own,1
313,steaming cunt flame short time still not cook,1
314,bitch know feeling stupid keep sentence short,1
315,basically bitch day mmmm course,1
316,stomach hurt like bitch,1
317,suck commie bitch,1
318,straight but hoe weak ten and,1
319,let wicca feel booty smart take hood good,1
320,cooling nig voice three laugh,1
321,fuck bitch get house,1
322,hey sir house nigger uncle tom aren grand ole mississippi rest case,1
323,bitch brush nigua nigua,1
324,heard mama raised like bitch,1
325,low bitch nigua ma get gay homies,1
326,pussy,1
327,not wait till get locked not sexist not afraid hit girl fact plan,1
328,smell meaty dis bitch,1
329,hate bitch but ugly and fat bitch worst,1
330,fat amy not funny woman personally not think woman funny,1
331,load bitch fool aid,1
332,rare pic trash posing trash usgiazsdwv,1
333,hahahahahahahahahahahahaha www thats fucking gross hahahahahahahahahahahahahahahahahahaahahahahahahahahahaahahaahahaah,1
334,tattoo bitch corrupt many men possible and,1
335,artery keep calling ghetto,1
336,started upgrade level dark elixir drill elixir bitch get,1
337,speaking time trypa make look bad like wasn eating pussy,1
338,saudi arabia nation islamolunatics hiding islamolunatics helped create,1
339,shut faggot one care,1
340,good morning lightsmen dyke bitch steven legal ponytail,1
341,loose freudian reference,1
342,sup bitch face mqpqzlgckf,1
343,running round like brand new pussy thats bout get fucked,1
344,bitch see paty perry pic paty perry fit cycltbkpno,1
345,stop one muslim nonsense look muslim tell pollster wurzel,1
346,eat pussy and look like migiymgrjt,1
347,see ma stop getting twitter arguing hoe stupidity trait dont not fuck,1
348,shut hoe,1
349,didn know fad sound fucking retarded haha,1
350,omao thats dead hoe gotta pay,1
351,bend buy and make nigger,1
352,bitch duck whore as slut cunt bien succi tho whatever nigua,1
353,damn,1
354,guess stole fucked bitch yzgrtegaq,1
355,like bitch already know answer brim,1
356,need outlaw islam outright,1
357,kim alright but honestly many night rather not and mile got unfollowed bitch strange,1
358,talentless skag wardrobe malfunction,1
359,kid fag,1
360,ive went fag day not happy,1
361,say umma make way farther want but aye gonna fun bitch suck diiiccckkk,1
362,ill night hang big shit poppin bitch and big first name,1
363,called tomb raider dumbass,1
364,apologize morgan but bitch blind whole second,1
365,pus pussy,1
366,would gay and would kill don become boy please,1
367,bitch think cute and guy funny fake a like weave dont even like soft,1
368,don trust hoe low but bigger think guy talk girl first understand,1
369,bitch ungrateful exblrnsyzv,1
370,bitch aren built wear certain shit ijtjvyy,1
371,man bitch fucked burn all house hoe bumble bee real grandma hoe,1
372,m tell damn near every morning bitch don even tell wide awoke wtv type shit,1
373,bitch switch roo night hell,1
374,hoe child and still awake,1
375,every time bobby bitch come,1
376,need hoe man real shit,1
377,shut bitch swallow,1
378,crazy bitch call time one hour,1
379,dude tell true mom friend texas trying hype redskin football and shit,1
380,niggun coming back,1
381,hot damn get phone,1
382,know goal expose lack sense,1
383,not black girl ghetto,1
384,bitch dumb,1
385,but want hairy as lick fuck know want,1
386,hey proved fucking irrelevant making and read,1
387,,1
388,type bitch like think broke disgusting,1
389,shout bitch don dress half naked get man attention stay classy,1
390,black man asked hey white boy like nigger well wouldn use word personally said like,1
391,bad ill short fine bitch ill petite sun,1
392,not see relevant non muslim treated third class citizen,1
393,moving always bitch excited dallas though,1
394,ugly white bitch,1
395,kill bitch think got low body count not hoe,1
396,sympathy level rising still two hot blonde amp gone,1
397,hate twitter bunch sexy bitch,1
398,porch monkey life,1
399,time night dark skin night really turn lightsmen night swear seen darkie try buying stembucks min ago but closed,1
400,jerk lolls faggot,1
401,bitch shtup,1
402,got hoe different area code,1
403,omao dylan got called pussy take skill,1
404,sending hoe clean use,1
405,would loved watch newsman bitch slap johnson pay see,1
406,two horny guy take turn beating shit tight teen pink pussy rbojwlariq,1
407,need guy put place bitch think zoo animal,1
408,damn mythbuster guy anyone work life alameda must crazy anyway,1
409,fuck hoe,1
410,low ill bitch,1
411,lmaoooo deep girl curved every nigua tried holla and nobody said fuck bitch,1
412,coming soon bitch nigua bec,1
413,legit stupid trolling,1
414,awe boy shirt tight bitch ami polo man turn wrestler fat as ill boy,1
415,well hate still considered fan,1
416,bitch wanna date flyest nigua shocked hoe low,1
417,bastard drama giving ing wetback,1
418,dumb black bitch getting card picture made fucking mad ruined day,1
419,hate people take picture and like don mind background nah bitch umma mind,1
420,smoke would not smoking hoe le getting fucked,1
421,churchill view pedophile prophet lhgnwf,1
422,hey moron and political bush raised terror threat right election omao,1
423,ugly bitch post retarded shit social medium,1
424,spy couple thirsty hoe inst,1
425,bitch tweaking hoe tweaking hoe,1
426,official leave america january see bitch february fun winter,1
427,helping as pack get plane true friend helping track sub sized weiner like fucking gps,1
428,damn shady would put false report,1
429,and aint hoe get traphouseeee ken if,1
430,juan like black girl monday wednesday spanish girl thursday amp friday amp white bitch weekend tub,1
431,every slant deported scum right chinatown bulldozed,1
432,look like bitch nigua,1
433,low vila simple but live pretty redneck area never get pronounced correctly,1
434,dude said bitch took whole nap midterm,1
435,dumb bitch fuchkkk and stupid friend pussy none handle always need friend get everything,1
436,pussy good amp forget pull sur,1
437,better give prize nicest nerd know,1
438,but islam hate free speech,1
439,another big storm blowing way hope wait home work start snowing hate driving,1
440,get money nigua hoe love,1
441,democratic people republic korea must wonderful place right look word,1
442,strong pussy all think tiara got good pussy,1
443,tell islamofascists,1
444,not believe still comp,1
445,trust none hoe,1
446,beat pussy like nemesis,1
447,know kat and andre awful want tatie and wiki,1
448,title bitch doesn apply woman but woman ill bitch,1
449,bad he faggot,1
450,retarded never mind,1
451,forgot already noubgcrr,1
452,hoe hoe tweeting panty bein wet,1
453,key polacre still enough invade fucked country,1
454,not mention girl super inflated ego considering not cook well and not nice,1
455,politics isn twitter coon low,1
456,know straw man einstein straw man,1
457,bitch gift huh huh low,1
458,anba superstar suck pussy top world but stop playing amp thousand gone sett,1
459,petit fuck got and calm goatsucker,1
460,want hot body want blatti better born wealth bitch,1
461,say not hoe ask,1
462,clock and still don time hoe oz ce,1
463,look like pant falling tights pant,1
464,ma pull eat pussy and dip,1
465,cant colored and white folk get along kept colored men got bigha dick,1
466,imagine try hardest stop bitch from glutin and still coming unsuccessful,1
467,everything except trust hoe,1
468,kejriwal degree fake had waiter hotel menu card had book ypupenu,1
469,sounded like bitch but whatever,1
470,twitter newsflash not ever visit baston burg area hoe disease and night thirsty galopade would worth trillion,1
471,little sissy bitch,1
472,thing stopped muslim slaughter historical past military defeat,1
473,nah zama fan ain winna nigger running offense,1
474,nah hate white people since look like dyke think ended racism vgjyhn bvt,1
475,don afraid let feeling show unless bitch,1
476,damn called bitch brush low,1
477,haha naw pink fuck know want and feel whoo hoo omao,1
478,good woman come around every bitch good man come around well get point,1
479,los bitch taught true meaning gravity panty kissed ankle,1
480,dat colored guy raisin,1
481,as slapping one greatest thing haha slapped girl as got mad aint get pussy week,1
482,hoe,1
483,yucky needle hate one special sort passion hug hope soon needle,1
484,sure one third muslim want murder people want leave islam pew grm,1
485,broke biggah gone tell,1
486,gigantic big faggot chub bout earl,1
487,shocking true party jjpexxyi,1
488,fuck right filthy puckering sphincter call soul,1
489,gone wife bitch let night lick head public,1
490,look data dipped think people leave islam killed foot it,1
491,dick bitch,1
492,job white trash,1
493,sunnyslope memphis ten come and get fucked as ill skinny bitch love read skinny,1
494,got dollar every time thought would start thinking,1
495,hoe told gonna chop dick baltimore,1
496,watched one and bitch holding camera said all need hurry battery die zoozoo,1
497,judaism not want take world like islam,1
498,pussy got body count dead pussy life,1
499,know forced islam brainwashed and never given choice,1
500,not sexist but theory female unable tell difference standard and high def,1
501,yay america amp israel put jew hating muslim trash government pathetic amp sickening,1
502,the hoe,1
503,people fill void and emptiness kind imaginary nonsense including allah,1
504,kat massive biggest ever,1
505,bitch wasting time ungrateful night,1
506,bitch failed geometry know exactly angle use take perfect sellie,1
507,yes according islam muslim encouraged kill not muslim and issue hindu,1
508,aka lonely bitch,1
509,excuse call bitch got caught stop,1
510,remember steve blue clue left bitch as nigua joe ally,1
511,got chipotle plug cuff hoe,1
512,alright fag nm,1
513,many hoe bad as little kid dont medication and cut school every week,1
514,chick promo porn fat girl need fucking,1
515,call sexist but girl not know shit sport come football repeat anything dad say,1
516,hoe,1
517,ain winna sleep bitch clock finish nodding meet top,1
518,omao definitely not bout say don front bitch shit freeway,1
519,nig cheeseball,1
520,wiggy azalea bitch,1
521,mafoo find shit funny hoe ain content working one nigua ditch fun boring,1
522,incessant whining like worthless little bitch funniest thing happened weekend not man,1
523,reason blocked bitch,1
524,swag swag swag bitch oooo,1
525,know karma real hope down cool but still stupid as bitch ain fucking,1
526,hoe year round yezzy taught,1
527,source,1
528,played great job retard,1
529,bussy ami pussy poppin handstand,1
530,bitch make plan not pussy fart charge follow deny down friday and fighting,1
531,gay man thrown rooftop isi gay despite radical left claim real uprid,1
532,hate bitch always mess,1
533,see tweet bitch omao von kick curb call curse as,1
534,bare as cunt hear,1
535,low bitch act like single but post picture nigua wahahe,1
536,slighty mad perry lick as loll,1
537,judge whatever name need stop fake tan literally orange,1
538,retarded enough but least date bring birthday,1
539,think need see said bitch question,1
540,two hoe know xljzwbtkr,1
541,whoa marc block new hair fucking crime humanity horror loveable goof douchebag instantly,1
542,pleased hitler grand mufti provided hitler army muslim soldier europe,1
543,lesson don pas like ill bitch,1
544,drop biggah,1
545,gone eat bitch,1
546,hannah sorry loss done deathbed vigil and suck hope pain eas time love,1
547,glad dis colored man can service white man,1
548,bitch wanna fuck something nothing like playing video game watching game,1
549,jus sicca,1
550,one ache gon end dead screen shot think funny ain many wicca gon laugh,1
551,mohammed hid behind trench medina mecca army showed guess coward also,1
552,yeah ill nigua homecoming king and still getting bad bitch see,1
553,brush thank start cumming hoe scare cheek,1
554,just can always wanted rigg hell good just not wild enough circle cuz,1
555,ain begging nobody attention fuck attention and fuck,1
556,calculated arab policy keep palestinian state desperation incite,1
557,brought prussia back bitch,1
558,hate ratchet country hoe ashamed,1
559,basically mad hoe,1
560,dude seems like everyone hate delete socialism site,1
561,payback bitch and bitch living debt,1
562,mad cause hoe think funny,1
563,wow like year late bitch,1
564,carlie jus put bitch night better start checking wheel drop bitch,1
565,fuck new bitch think found,1
566,wasn spotty network switch heartbeat horizon kick serious as,1
567,damn don harem lead shout kowhai would interesting resulting chaos,1
568,meant boo whore,1
569,lazy bitch laziest today,1
570,honestly not believe added female soldier call duty ghost not sexist but kinda weird and,1
571,never let another bitch say change action towards,1
572,tolerance sharpening knife year jihad pain,1
573,kat may bitch but let honest blonde not far behind,1
574,ugh hate get spam follower shouldn count valley actual follower,1
575,think every bitch wit tongue piercing suck dick real,1
576,self low black bitch,1
577,trickie shitstache amp rest pussy better enjoy back injury nothing but birdie putt and,1
578,hey make thing,1
579,takin straight dirt finger pussy know put dick,1
580,anal gaping tranny play panty nylon part otesnwmx,1
581,rock cock dude,1
582,him everybody block bitch,1
583,still trash gulf in,1
584,don let natural hair care shit fool hoe need perm,1
585,shtup thirsty hoe,1
586,want pussy bad,1
587,pull panty teeth and write alphabet tongue throbbing pussy,1
588,call fat amy twig bitch like don call behind back,1
589,pussy ppppoppin popper cop see bitchezzz,1
590,got hoe yet,1
591,gonna miss bitch bus driver won don lie,1
592,love bad bitch fucking hobby and yeah four like fucking doggy,1
593,damn evil non bullying minute pa beckoning fridge right,1
594,tyler isn shit faggot listen real music,1
595,wow totally know fine line love and hate,1
596,old old wolf pussy,1
597,hey everyone girl fake,1
598,know one thing though bitch come,1
599,got hoe,1
600,ion sell vice ion drink lean bitch ion even smoke tree,1
601,fucking,1
602,word zero hoe,1
603,wake rahu score hundred,1
604,bet sweet as,1
605,yeah loving wiki poor wiki mo,1
606,shut fuck wack fuck garbage mohawk faggot stop making music and shovel snow scrub,1
607,young gem amp don chief killing going real music bubble gum trash booth lkjnb unit,1
608,idgah bout basic bitch,1
609,trust hoe fam invt wicca,1
610,low maybe give date hoe date let know work low,1
611,stupid bitch and hop awhile formspring,1
612,ont get head hoe wit overbite,1
613,alien better stay away jesse james poplin third don give fuck bitch,1
614,last cameron loomed,1
615,like greatest hit not sexist but woman weird sense humor and not drive,1
616,tony think rude little cunt and young even know real rock and role,1
617,girl wife halloween since hoe year,1
618,shut faggot,1
619,kinda wanna cruise and see see colorful as bitch walking around best believe one le clown earth,1
620,hoe loser and need hit gym,1
621,got one serve not two defend double line also,1
622,hey cunt miss,1
623,every female owns thong wear thong hoe low fact,1
624,kashi leonard tmh wow really gonna leak nom ion need fur nig,1
625,and france gross nastiest couple ive ever freaking seen way league like joke,1
626,don beef bitch,1
627,nah but worth character bitch,1
628,pornographic don make hoe,1
629,saudi cleric belief earth not revolve around sun must way return century expert guide,1
630,man look terrified picture beat treat like regular bitch,1
631,low stupid as bitch remember michael brown feel old yet,1
632,muslim not defeated charles martel civilization would millenium le advanced,1
633,bitch start new year new bullshit undo number pussy thoo,1
634,karma bitch baby get,1
635,could literally cry one minute get wipe face amp walk room like bitch turn cutup ink weird,1
636,bitch boy,1
637,scrap might get life prison murdering note nigua poll loco story,1
638,wanna buy bitch every bag,1
639,jason admitted stuck bitch low think much better everycunt nataka,1
640,soul departed train soul music hunger bitch money and fame,1
641,man kill mother reveals hiv positive sex bitch deserved,1
642,jordan stay making fun eat like little bitch,1
643,pete carroll polly got hoe lined player game brush,1
644,bitch bitch grind thug luuuuuuv,1
645,treatment christian nearly bad and people not book murdered outright,1
646,bae always bae even bae not bae still bae therefore hoe move around please,1
647,bitch meet low,1
648,hoe low,1
649,bitch trypa wash shit low low funny,1
650,and way fuck bitch,1
651,attention woman not participating shave november,1
652,not need inflated rape statistic money grabbing would cheering,1
653,don hold feeling old fling jus trade dem bitch like old range,1
654,pussy,1
655,terrorist follow islam exactly defined quran and hadith islam terrorist group,1
656,never seen many perfect bitch til made twitter but,1
657,ahhs karma bitch,1
658,hollow bitch,1
659,always ugly bitch don like,1
660,grandma used call porch monkey time come think refer broken bottle nigger knife,1
661,ross pulling hoe yefrlbvdvb,1
662,gonna cunt friend,1
663,get bitch brush,1
664,pussy hoe give pussy hoe,1
665,minute bitch left nigua hoe forgot like nova met nigua,1
666,getting bitch dwy arm,1
667,lost partner bitch money but never lost mind,1
668,as terrorist bitch,1
669,bitch get twitter and text back love,1
670,dope as nigua and bitch hell sober,1
671,club makin movie feel like tyler perry fucking night bitch dey like married,1
672,well good god damn,1
673,not concerned equal dog,1
674,finger crossed kat amp andre sudden death belong,1
675,bitch mom didn call,1
676,little bastard come unto spinelle time little wigger rap think and try say like gonna die,1
677,not sexist but quality woman dart terrible,1
678,bout put hoe backage try pimp hand,1
679,stop bringing weird nigger mention cussdjesrk,1
680,white bus driver white trash,1
681,ain hoe day,1
682,first crusader muslim microbian year european headed direction,1
683,tell bitch dont shit unless sucking fucking,1
684,know right hate fat loud bitch,1
685,nah watch hoe thats jus getting fucked start tweeting bout make love,1
686,bitch skuld vodum,1
687,life ain nothing but bitch and money,1
688,female love bum nigua jail bird,1
689,reason shelvy hate sandwich queer,1
690,never understood want strap ck nigua wtv bitch,1
691,worried bout hoe cuz hoe aint worried bout another hoe,1
692,little stupid as bitch ain fucking,1
693,kat nasty human not deserve comp,1
694,sound dumb end story quit cry and making big deal little thing,1
695,turn bitch,1
696,like think not sexist but cannot stand female clueless sport talk sport,1
